id,toxic,severe_toxic,obscene,threat,insult,identity_hate
76ad628c36b3f4a2,-1,-1,-1,-1,-1,-1
b94d5c05ddcc5cd8,0,0,0,0,0,0
74f95e6c5c3a3b67,-1,-1,-1,-1,-1,-1
9a6dd2838f5ee434,0,0,0,0,0,0
8c6b87050a6cbd62,-1,-1,-1,-1,-1,-1
bf90a34533080b37,0,0,0,0,0,0
69620eb8b2c74b5e,-1,-1,-1,-1,-1,-1
3a756a5c65f30590,0,0,0,0,0,0
3de66613ce4c4209,-1,-1,-1,-1,-1,-1
e6f42a4c0f9428f1,-1,-1,-1,-1,-1,-1
f6ee15cb542baf54,0,0,0,0,0,0
aecbcd88804c46a1,-1,-1,-1,-1,-1,-1
6a998235214733d8,-1,-1,-1,-1,-1,-1
fcad1fa25eab39cb,0,0,0,0,0,0
0581c2d22b6b6bbf,-1,-1,-1,-1,-1,-1
28d514245a0d5d6d,-1,-1,-1,-1,-1,-1
ecb452bb96a5bf78,0,0,0,0,0,0
3872d250f9999f01,-1,-1,-1,-1,-1,-1
3845d4e7ef35f767,0,0,0,0,0,0
3aba56489dfc34d5,-1,-1,-1,-1,-1,-1
63e53280dbb67086,-1,-1,-1,-1,-1,-1
1d1e51930733cee6,-1,-1,-1,-1,-1,-1
827953ccbfd1f2c0,-1,-1,-1,-1,-1,-1
48814a72fe001b79,-1,-1,-1,-1,-1,-1
5b2290c9dcd7d9ba,0,0,0,0,0,0
0c347aed108b7790,1,0,0,0,0,0
77e338b032eb852b,0,0,0,0,0,0
9eaebaf7175982cb,-1,-1,-1,-1,-1,-1
6d3f926be8dbdf66,-1,-1,-1,-1,-1,-1
ef8fb83272d87aff,-1,-1,-1,-1,-1,-1
1cd7f4631dcb843d,0,0,0,0,0,0
b7311e7823588f89,0,0,0,0,0,0
b4367ccc0d9ea907,0,0,0,0,0,0
913a8b3141a5d85b,-1,-1,-1,-1,-1,-1
ac138be5a23d1440,-1,-1,-1,-1,-1,-1
4f5e0edd3b467dc3,0,0,0,0,0,0
46a8b1454e0d6c58,0,0,0,0,0,0
bc659c9fc4bb0eba,-1,-1,-1,-1,-1,-1
72fe730b159f89a7,0,0,0,0,0,0
659b7ef19074e7b7,0,0,0,0,0,0
9a1742f6571bcab2,0,0,0,0,0,0
0bd7d81a2b31044a,0,0,0,0,0,0
9d48b0901a6d8374,-1,-1,-1,-1,-1,-1
83d0200e6e62cdcd,0,0,0,0,0,0
bc72dc98e6307659,-1,-1,-1,-1,-1,-1
be9abcffc6c9f7ce,-1,-1,-1,-1,-1,-1
98294b3188bde86f,1,0,0,0,0,0
c6d5dfb814778130,-1,-1,-1,-1,-1,-1
b240c04092973b57,0,0,0,0,0,0
1e6a947aa42d8b11,-1,-1,-1,-1,-1,-1
ffa7232f37eb11ed,-1,-1,-1,-1,-1,-1
9f54c483fae819cc,0,0,0,0,0,0
515a2666d399821d,0,0,0,0,0,0
cf4ae0b166f5d68f,0,0,0,0,0,0
326c6a119952a8e7,0,0,0,0,0,0
4ce355ff73ef82ea,1,0,1,0,1,0
4cf6a585251eed47,0,0,0,0,0,0
818e0ffb166373ba,-1,-1,-1,-1,-1,-1
a709ba53948d9b2a,0,0,0,0,0,0
ca4b3cbd5854129b,-1,-1,-1,-1,-1,-1
3ae1058fc0fb5656,-1,-1,-1,-1,-1,-1
8810bc9b449a2ee4,0,0,0,0,0,0
54664fbe6d6dd440,-1,-1,-1,-1,-1,-1
4b3dc8917559edbe,-1,-1,-1,-1,-1,-1
d3956605f3497357,-1,-1,-1,-1,-1,-1
2a6dd0a718df1b42,0,0,0,0,0,0
11d5186aed9d35a4,-1,-1,-1,-1,-1,-1
555aa8e0cc42d1e1,-1,-1,-1,-1,-1,-1
137df37e25c41d7a,1,0,0,0,1,0
bd85b8090d78b8b7,-1,-1,-1,-1,-1,-1
4eb63907ffb6b4e7,-1,-1,-1,-1,-1,-1
1f4dc6b8c8c917fa,-1,-1,-1,-1,-1,-1
54e72becf432b521,0,0,0,0,0,0
06f0d8a95934ff65,-1,-1,-1,-1,-1,-1
2e7cbf6644f95aec,-1,-1,-1,-1,-1,-1
e18eac94aaeb005b,0,0,0,0,0,0
aacc0fbcf5c7e37e,0,0,0,0,0,0
36a6869a36a6d4ad,-1,-1,-1,-1,-1,-1
576df48e6f60828e,-1,-1,-1,-1,-1,-1
0539f9209d37d25b,-1,-1,-1,-1,-1,-1
5b25233fa4db922a,-1,-1,-1,-1,-1,-1
6e93b76ddfdaff72,-1,-1,-1,-1,-1,-1
9f387a18d504eec9,-1,-1,-1,-1,-1,-1
40b2f37620367887,-1,-1,-1,-1,-1,-1
3c165b5c5c653775,0,0,0,0,0,0
7730017b3a058f11,-1,-1,-1,-1,-1,-1
d1db666baa94854c,0,0,0,0,0,0
a69fbc57bc2b6e72,0,0,0,0,0,0
4e3c33b4970a9473,-1,-1,-1,-1,-1,-1
e41887e9a9c0ef91,-1,-1,-1,-1,-1,-1
425ab861de76f748,-1,-1,-1,-1,-1,-1
4baca8da812671f0,-1,-1,-1,-1,-1,-1
8a9479dc9186cc90,-1,-1,-1,-1,-1,-1
d49a71ec14404135,-1,-1,-1,-1,-1,-1
b42bd68ec1e9a60a,-1,-1,-1,-1,-1,-1
0f24b653e02c7f93,0,0,0,0,0,0
13ebe34ad4e1800d,-1,-1,-1,-1,-1,-1
eec833a65f5dc47b,0,0,0,0,0,0
897d46aef71696e0,-1,-1,-1,-1,-1,-1
5ed7ab788aa59c05,-1,-1,-1,-1,-1,-1
3cb49b22382b0527,-1,-1,-1,-1,-1,-1
db0b5e9941adcbed,1,0,1,0,1,1
d2d9d8ec8b6461d0,-1,-1,-1,-1,-1,-1
3f408b0116b38c8b,0,0,0,0,0,0
bf6c16d595568cc2,0,0,0,0,0,0
948533e9f2d8e859,0,0,0,0,0,0
b2cf2adfa10e3e06,-1,-1,-1,-1,-1,-1
698633ad595cbf13,0,0,0,0,0,0
f83b50ff4517c312,-1,-1,-1,-1,-1,-1
6b07da5eaeab55c7,0,0,0,0,0,0
554bfa3250410415,-1,-1,-1,-1,-1,-1
3a4b59939828b3e3,0,0,0,0,0,0
20c7ff2871837cd8,-1,-1,-1,-1,-1,-1
36d9453a8f125c47,0,0,0,0,0,0
e26c29b22bb349aa,-1,-1,-1,-1,-1,-1
844712779b5301e7,-1,-1,-1,-1,-1,-1
9fb135a21b3218d6,-1,-1,-1,-1,-1,-1
62fe960f59a30858,-1,-1,-1,-1,-1,-1
ee2daf5e9147295a,-1,-1,-1,-1,-1,-1
d757bf035fb90892,-1,-1,-1,-1,-1,-1
12891633479fb646,-1,-1,-1,-1,-1,-1
d15c9bc9841fc2f7,0,0,0,0,0,0
82974086e93719ba,-1,-1,-1,-1,-1,-1
3722fff8a7d27f0d,-1,-1,-1,-1,-1,-1
3eac459d2dd32838,-1,-1,-1,-1,-1,-1
093473df9446b3ad,-1,-1,-1,-1,-1,-1
9a8550043ccc7f49,-1,-1,-1,-1,-1,-1
5bdf7e49fdca3597,-1,-1,-1,-1,-1,-1
ab41692efc4d8379,1,0,1,0,1,0
e1f437989d894c50,-1,-1,-1,-1,-1,-1
c899a67ba1a7d0e2,0,0,0,0,0,0
598478a34e58789f,-1,-1,-1,-1,-1,-1
642ea8b1c43356b6,-1,-1,-1,-1,-1,-1
22bec8c7ab1a3bc7,-1,-1,-1,-1,-1,-1
5a2e653891218a55,-1,-1,-1,-1,-1,-1
5f892b28d4e8c867,1,0,1,0,0,0
e2e56f56a4fbfd16,-1,-1,-1,-1,-1,-1
9b4bbd9497f821f8,0,0,0,0,0,0
e6fa4962fc56ef8a,-1,-1,-1,-1,-1,-1
0845911b979b275f,0,0,0,0,0,0
ce2ff186ef590f9d,-1,-1,-1,-1,-1,-1
20d8017278e03db4,-1,-1,-1,-1,-1,-1
4e12e9f0c1c26844,0,0,0,0,0,0
61a1b646e4288187,-1,-1,-1,-1,-1,-1
32a4159c79f89c1b,-1,-1,-1,-1,-1,-1
c490362f0c42c987,-1,-1,-1,-1,-1,-1
9f457426ba78cac5,-1,-1,-1,-1,-1,-1
a7c02f19baaa66c3,-1,-1,-1,-1,-1,-1
70979e904188c232,-1,-1,-1,-1,-1,-1
f1658a87a4ab294f,-1,-1,-1,-1,-1,-1
97500e44c0c9d26a,-1,-1,-1,-1,-1,-1
ced7ff413d072cc2,0,0,0,0,0,0
f8d2d7c9db9040b4,-1,-1,-1,-1,-1,-1
4bb8d9bf8447a081,0,0,0,0,0,0
39b0fcff10d7ccce,0,0,0,0,0,0
033f9a77a0d66125,0,0,0,0,0,0
62467c8f0bb075a3,1,0,0,0,0,0
174183b6aa03ccb7,-1,-1,-1,-1,-1,-1
b11eaefe0d1e38d1,1,0,1,0,1,1
6fb3e59dad2b949c,0,0,0,0,0,0
4dcb6682ff7acd06,0,0,0,0,0,0
dfda3d76ce616659,1,0,1,0,1,1
5454d5fabc1d6310,1,0,0,0,0,1
db73888d92459c8d,-1,-1,-1,-1,-1,-1
5c6deed0718b22f7,-1,-1,-1,-1,-1,-1
03b9bb39dd5e8dc9,-1,-1,-1,-1,-1,-1
b0755be14ec2bd26,-1,-1,-1,-1,-1,-1
0452a64157caadb0,0,0,0,0,0,0
35541d0625d852b4,-1,-1,-1,-1,-1,-1
9c2058e1c0efe8b0,0,0,0,0,0,0
257ee758a9e100fd,-1,-1,-1,-1,-1,-1
9690693c4e601e49,-1,-1,-1,-1,-1,-1
d3aaa9beb72dd4be,0,0,0,0,0,0
a24c29030fcf5998,1,0,0,0,1,0
4685f77b91b1f6e1,-1,-1,-1,-1,-1,-1
f661d366c93fcbd2,-1,-1,-1,-1,-1,-1
a9da8f3981f6cce6,0,0,0,0,0,0
a914f4ec8ae0c4ea,-1,-1,-1,-1,-1,-1
b87b9439b8e8b52f,-1,-1,-1,-1,-1,-1
9d7dbccec0e49e47,-1,-1,-1,-1,-1,-1
49199bed590e133a,0,0,0,0,0,0
fb4c2d59f1a9cfb6,-1,-1,-1,-1,-1,-1
ee0e7f3f8b977467,-1,-1,-1,-1,-1,-1
dca013c2a607cccd,-1,-1,-1,-1,-1,-1
97e8a7d03816f152,0,0,0,0,0,0
ae42faad80c05a7a,-1,-1,-1,-1,-1,-1
047f0940d74144aa,0,0,0,0,0,0
29e9f3025aac7fc0,-1,-1,-1,-1,-1,-1
96676e5d82d72b3b,0,0,0,0,0,0
251d6902a6bd56af,0,0,0,0,0,0
49de4fc4f7b04c25,0,0,0,0,0,0
d841f8ca43533f9c,1,0,0,0,0,0
7095b54fb89770fc,0,0,0,0,0,0
bc6435ebf05b6b69,-1,-1,-1,-1,-1,-1
1e4b83220322d1c4,-1,-1,-1,-1,-1,-1
45ef70785b49041a,0,0,0,0,0,0
8e819a7fb3d9050d,-1,-1,-1,-1,-1,-1
86b2662a6e33d5e0,0,0,0,0,0,0
a1f5aacf333b59de,0,0,0,0,0,0
027b773d781089ca,0,0,0,0,0,0
e93a2a2739bb7d3f,-1,-1,-1,-1,-1,-1
5adec27ad52908ac,-1,-1,-1,-1,-1,-1
1b490e77102a0de0,1,0,0,0,0,0
0f5270d8515381f5,-1,-1,-1,-1,-1,-1
94703c1fa5f9132f,-1,-1,-1,-1,-1,-1
465c135912bcfca7,0,0,0,0,0,0
796e4816ab2f5b9f,-1,-1,-1,-1,-1,-1
a16df912544a857d,-1,-1,-1,-1,-1,-1
65b9c0f6a44447b2,0,0,0,0,0,0
c2559a052d85883c,0,0,0,0,0,0
eac12322b81fca02,0,0,0,0,0,0
d58a21986cdb7c81,-1,-1,-1,-1,-1,-1
80c72b25aac3157f,-1,-1,-1,-1,-1,-1
44790a2faa5978ce,1,0,0,0,0,0
be9f0606629e74cd,-1,-1,-1,-1,-1,-1
f2459164e6c8f6db,0,0,0,0,0,0
5ccf34430d5f565f,-1,-1,-1,-1,-1,-1
21b5369619ffb789,-1,-1,-1,-1,-1,-1
e3d7aaff32b3b89d,-1,-1,-1,-1,-1,-1
ff6e51fa88dbc844,0,0,0,0,0,0
84ea7425d3c6f51b,1,0,1,0,1,0
637ecf9a2a27a4b8,-1,-1,-1,-1,-1,-1
fd2dd2ee6f3a63d9,1,0,1,0,1,1
255eccdcab720d45,-1,-1,-1,-1,-1,-1
9662f6f61e9eaf8f,0,0,0,0,0,0
f96790e063559011,-1,-1,-1,-1,-1,-1
a8143168e8fe4f8a,0,0,0,0,0,0
9fc26e9f197ac0fe,-1,-1,-1,-1,-1,-1
6013b4b6b26827de,-1,-1,-1,-1,-1,-1
44143663ce5d4820,0,0,0,0,0,0
d8f41c6ecd5a12d5,0,0,0,0,0,0
5e091997c35839d9,0,0,0,0,0,0
46543e1dc1ca2424,0,0,0,0,0,0
60cef7af1c2659df,-1,-1,-1,-1,-1,-1
91ac0885f9baba2f,-1,-1,-1,-1,-1,-1
03f8d19b780f4038,-1,-1,-1,-1,-1,-1
2c8ab2c48ffd92a5,0,0,0,0,0,0
5fded1723576ffb3,0,0,0,0,0,0
1d442fbae0ad0f72,-1,-1,-1,-1,-1,-1
b1093edd0067a236,-1,-1,-1,-1,-1,-1
0f1fa61dff8b0115,0,0,0,0,0,0
13d15a2dc4d76d36,0,0,0,0,0,0
6922717533060fab,0,0,0,0,0,0
572cac5c2fdce944,-1,-1,-1,-1,-1,-1
6ead2752268f246d,0,0,0,0,0,0
0db04c982f4df019,-1,-1,-1,-1,-1,-1
aebd15e89f5af345,0,0,0,0,0,0
f872ff767b207e49,0,0,0,0,0,0
72a3c40a753a674b,0,0,0,0,0,0
c4de2b9a3162fb08,-1,-1,-1,-1,-1,-1
eb0c1f0161a8e265,-1,-1,-1,-1,-1,-1
5e542ce688ada239,-1,-1,-1,-1,-1,-1
8590e241b8bf163b,-1,-1,-1,-1,-1,-1
3427773ca70ee8e7,-1,-1,-1,-1,-1,-1
db442b899dd959ff,0,0,0,0,0,0
8cb94e5e131f5042,-1,-1,-1,-1,-1,-1
4fd45e8c6f618a42,-1,-1,-1,-1,-1,-1
88529caf6944266c,-1,-1,-1,-1,-1,-1
1c7426083bee9871,-1,-1,-1,-1,-1,-1
bc7f3d8834de6e45,-1,-1,-1,-1,-1,-1
9c4266119a3b5af9,-1,-1,-1,-1,-1,-1
70174b389fca46a1,-1,-1,-1,-1,-1,-1
eb2cb846cd2f0bd4,0,0,0,0,0,0
507caad99cd312a4,-1,-1,-1,-1,-1,-1
c52de7bce2722332,-1,-1,-1,-1,-1,-1
a1ee5fc6afea3c82,-1,-1,-1,-1,-1,-1
54775333b0821d0d,-1,-1,-1,-1,-1,-1
c8a7a95d0f989d6e,-1,-1,-1,-1,-1,-1
3e1b03c8e65d6911,-1,-1,-1,-1,-1,-1
2b78c3f1aa0d09b3,0,0,0,0,0,0
5d4584c6856ea2c6,-1,-1,-1,-1,-1,-1
093411e068556b43,-1,-1,-1,-1,-1,-1
99af80bce5ad4249,-1,-1,-1,-1,-1,-1
81969eed2ed63795,-1,-1,-1,-1,-1,-1
df7335538973ea75,-1,-1,-1,-1,-1,-1
ab39165576437014,-1,-1,-1,-1,-1,-1
01533b362ba8c4a2,0,0,0,0,0,0
33795fdb6d518c31,0,0,0,0,0,0
85db212788470b2b,0,0,0,0,0,0
fcd0035ea31ec711,0,0,0,0,0,0
34e5fed7452f8a50,-1,-1,-1,-1,-1,-1
5978a3c7ad93d43f,0,0,0,0,0,0
d111d25574c620b2,0,0,0,0,0,0
faa7fa35415cb9c2,0,0,0,0,0,0
5472db422ca7b5c4,-1,-1,-1,-1,-1,-1
6d2140f0a5774882,0,0,0,0,0,0
94d945110878a158,0,0,0,0,0,0
e9b588a2cd010efb,-1,-1,-1,-1,-1,-1
153a3328cb564fea,0,0,0,0,0,0
6bcdfaa29d4c4a28,-1,-1,-1,-1,-1,-1
7d20a16f97dba579,0,0,0,0,0,0
f9fc84626f38a42c,-1,-1,-1,-1,-1,-1
dccc195083bafe51,0,0,0,0,0,0
4e2261dad1fe71ec,0,0,0,0,0,0
c874fe105b46d02c,-1,-1,-1,-1,-1,-1
f8dcf4643a1e028b,0,0,0,0,0,0
8093914eb8f2fd7f,0,0,0,0,0,0
ed15f998e26065bb,-1,-1,-1,-1,-1,-1
61e806b3857d8dfb,1,0,1,0,1,0
ef9132caa74659f4,0,0,0,0,0,0
5c696da8c16e3b03,-1,-1,-1,-1,-1,-1
92ab05fea082e41e,-1,-1,-1,-1,-1,-1
00a858641647ace9,0,0,0,0,0,0
79376a753a6ae9e4,-1,-1,-1,-1,-1,-1
11b4b0cfd10f41b6,-1,-1,-1,-1,-1,-1
687b7233613cfad9,0,0,0,0,0,0
135ce28823aeb9a8,0,0,0,0,0,0
8896c43befdad89c,-1,-1,-1,-1,-1,-1
3f5b4936dbdc0ae3,-1,-1,-1,-1,-1,-1
043a49f8f7219d18,0,0,0,0,0,0
c1cb414aa4f81a8f,0,0,0,0,0,0
ead80b9185001a0f,-1,-1,-1,-1,-1,-1
88ddbf63153bc869,-1,-1,-1,-1,-1,-1
c691a146d6cde24b,-1,-1,-1,-1,-1,-1
295b1b60f1fcfc68,-1,-1,-1,-1,-1,-1
f149b32141cba110,-1,-1,-1,-1,-1,-1
3a147ab637e693d6,-1,-1,-1,-1,-1,-1
eab9100565a7508c,-1,-1,-1,-1,-1,-1
f5025957fb31a0d9,0,0,0,0,0,0
da72a7b04a1333e2,0,0,0,0,0,0
33f5b900ac3fd9ae,0,0,0,0,0,0
940cdb79c92852c6,-1,-1,-1,-1,-1,-1
ef7bbdae40746acc,-1,-1,-1,-1,-1,-1
8cb4aa9467dffae8,0,0,0,0,0,0
8e59ae2c607a146a,-1,-1,-1,-1,-1,-1
0f2cac2bcb5d7a74,-1,-1,-1,-1,-1,-1
215f8d0636572525,-1,-1,-1,-1,-1,-1
34fb59e95d99a466,-1,-1,-1,-1,-1,-1
d04f9c85d2c593b3,-1,-1,-1,-1,-1,-1
ecafc7fbff225391,1,0,1,0,0,0
b2a5f6dc3119bb81,0,0,0,0,0,0
5fc6d7f0933c222c,-1,-1,-1,-1,-1,-1
ed516e3642b042fa,-1,-1,-1,-1,-1,-1
